epoch,train_loss,val_loss,lr
1,5.449683953554202,4.954690796988351,5e-05
2,4.90614569737361,4.717369614815225,5e-05
3,4.757094503060365,4.638544690852263,5e-05
4,4.691506113150181,4.609577431970713,5e-05
5,4.663639802199143,4.599701784094986,5e-05
6,4.6494802169310745,4.593949658530099,5e-05
7,4.640546869620299,4.588400086578058,5e-05
8,4.634271252460969,4.586282389504569,5e-05
9,4.628115543952355,4.585615771157401,5e-05
10,4.623934400998629,4.577994984023425,5e-05
11,4.620319735698211,4.577793179726114,5e-05
12,4.61651784945757,4.57557487487793,5e-05
13,4.614006175750341,4.573882180817273,5e-05
14,4.611161637917543,4.573548399672216,5e-05
15,4.609680069409884,4.573143044296576,5e-05
16,4.6084684530893965,4.571499367149508,5e-05
17,4.60633075542939,4.570839288283367,5e-05
18,4.604048272890922,4.572081390692263,5e-05
19,4.603215921842135,4.569184337343488,5e-05
20,4.6023275302006645,4.568869770789633,5e-05
21,4.600522425235846,4.569579362869263,5e-05
22,4.600288800704173,4.567993095942906,5e-05
23,4.5992465923994015,4.566678884078045,5e-05
24,4.597417535537328,4.566444732704941,5e-05
25,4.596735306275197,4.566925856531883,5e-05
26,4.595999386371711,4.5652764184134345,5e-05
27,4.595659164281992,4.563749405802513,5e-05
28,4.594803925049611,4.565975174611928,5e-05
29,4.594132397725032,4.564650817793243,5e-05
30,4.5935060293246535,4.564972746128938,5e-05
31,4.593309499055911,4.5654910291944235,5e-05
32,4.592199730261778,4.563924400173888,5e-05
33,4.592358018190433,4.5640758348971,5e-05
34,4.591197565274361,4.563364671201122,5e-05
35,4.591271567955995,4.561807739491365,5e-05
36,4.5903330179361195,4.5631378329530055,5e-05
37,4.589957415751922,4.56212660244533,5e-05
38,4.589099563696446,4.561683508814598,5e-05
39,4.589341016916128,4.559906010725061,5e-05
40,4.588974293684348,4.560554436274937,5e-05
41,4.58829089433719,4.560437927440721,5e-05
42,4.588283983866374,4.560085247974007,5e-05
43,4.587834220054822,4.56413315266979,5e-05
44,4.587329129683666,4.559441264794797,5e-05
45,4.586703828664926,4.560371408657152,5e-05
46,4.5864586316622225,4.558855694167468,5e-05
47,4.586279425254235,4.559633186885288,5e-05
48,4.585655778493637,4.55777889855054,5e-05
49,4.585898638994266,4.560506290319014,5e-05
50,4.585647850770217,4.55929370802276,5e-05
51,4.5852967066642565,4.558430121869457,5e-05
52,4.584928459998888,4.55756165543381,5e-05
53,4.584515593602107,4.556724008248777,5e-05
54,4.5841724640283825,4.558102116292837,5e-05
55,4.584338605098235,4.559127885468152,5e-05
56,4.583761563667884,4.557113540415862,5e-05
57,4.58355069894057,4.55867489989923,5e-05
58,4.5839146711887455,4.55740306328754,5e-05
59,4.583168775607378,4.557993266047264,5e-05
60,4.583119457195966,4.557041226601114,5e-05
61,4.583248876914,4.5589786694974315,5e-05
62,4.5825225658905815,4.556584509051576,5e-05
63,4.583006051870493,4.557494051602422,5e-05
64,4.582140657229301,4.558153609840238,5e-05
65,4.582496539140359,4.5565857303385835,5e-05
66,4.582061076775576,4.5562398093087335,5e-05
67,4.58211916532272,4.556975296565464,5e-05
68,4.581461845300137,4.556443233879245,5e-05
69,4.58144596295479,4.5571699434397175,5e-05
70,4.581686405035166,4.555153506142752,5e-05
71,4.5813655938857645,4.555518505524616,5e-05
72,4.581523332840357,4.555904573323775,5e-05
73,4.581083209698017,4.555760729069612,5e-05
74,4.5809384382688085,4.5568656824073015,5e-05
75,4.580727546642988,4.557056660554847,5e-05
76,4.580655343715961,4.5574545373722,5e-05
77,4.580419786159808,4.554683709631161,5e-05
78,4.580468529921312,4.555266287862038,5e-05
79,4.580674781554785,4.555060522896903,5e-05
80,4.579757304069323,4.554459961093202,5e-05
81,4.580310503641765,4.554694443332906,5e-05
82,4.580316557028355,4.554826600211007,5e-05
83,4.580002664908385,4.553731188482168,5e-05
84,4.5796922439183945,4.553149520134439,5e-05
85,4.580141237454536,4.554947969864826,5e-05
86,4.579369425162291,4.555505908265406,5e-05
87,4.57978377709022,4.556126545886604,5e-05
88,4.5799433194673975,4.554483695906036,5e-05
89,4.579096560600476,4.554632157695536,5e-05
90,4.579345211615929,4.557689311553021,5e-05
91,4.578730929203522,4.554919408292187,5e-05
92,4.579356098175049,4.5541364660068435,5e-05
93,4.579118501223051,4.553229906121079,5e-05
94,4.5794158947773465,4.553116915177326,5e-05
95,4.579003851230328,4.554433954005339,5e-05
96,4.5786922014676605,4.55365285581472,5e-05
97,4.5787571185674425,4.554939523035166,5e-05
98,4.578234743460631,4.552983863013131,5e-05
99,4.578367792031703,4.554286042038275,5e-05
100,4.578726858970446,4.552890451586976,5e-05
